名前,フォルム,名前(フォルム),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サルノリ,,サルノリ,基本,基本,Lv.6,Lv.8,Lv.12,Lv.17,Lv.20,Lv.24,Lv.28,Lv.32,Lv.36,マシン00,マシン01,マシン10,マシン11,マシン12,マシン16,マシン21,マシン24,マシン25,マシン28,マシン31,マシン34,マシン39,マシン40,マシン56,マシン58,マシン59,マシン63,マシン76,マシン78,マシン94,レコ.00,レコ.07,レコ.13,レコ.20,レコ.26,レコ.27,レコ.35,レコ.37,レコ.65,レコ.77,レコ.85,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,鎧の孤島,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ひっかく,なきごえ,えだづき,ちょうはつ,はっぱカッター,いやなおと,はたきおとす,たたきつける,さわぐ,ウッドハンマー,がむしゃら,メガトンパンチ,メガトンキック,マジカルリーフ,ソーラービーム,ソーラーブレード,いやなおと,ねむる,いびき,まもる,ギガドレイン,メロメロ,にほんばれ,からげんき,スピードスター,とんぼがえり,ダメおし,なげつける,ドレインパンチ,りんしょう,アクロバット,みねうち,つるぎのまい,けたぐり,きあいだめ,みがわり,こらえる,ねごと,さわぐ,ちょうはつ,エナジーボール,くさむすび,ふるいたてる,かいりき,やどりぎのタネ,せいちょう,ねこだまし,しぜんのちから,アームハンマー,なやみのタネ,グラススライダー,くさのちかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バチンキー,,バチンキー,進化時,基本,基本,基本,基本,基本,Lv.12,Lv.19,Lv.24,Lv.30,Lv.36,Lv.42,Lv.48,マシン00,マシン01,マシン10,マシン11,マシン12,マシン16,マシン21,マシン24,マシン25,マシン28,マシン31,マシン34,マシン39,マシン40,マシン56,マシン58,マシン59,マシン63,マシン76,マシン78,マシン94,レコ.00,レコ.07,レコ.13,レコ.20,レコ.26,レコ.27,レコ.35,レコ.37,レコ.65,レコ.77,レコ.85,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,鎧の孤島,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ダブルアタック,ダブルアタック,ひっかく,なきごえ,えだづき,ちょうはつ,はっぱカッター,いやなおと,はたきおとす,たたきつける,さわぐ,ウッドハンマー,がむしゃら,メガトンパンチ,メガトンキック,マジカルリーフ,ソーラービーム,ソーラーブレード,いやなおと,ねむる,いびき,まもる,ギガドレイン,メロメロ,にほんばれ,からげんき,スピードスター,とんぼがえり,ダメおし,なげつける,ドレインパンチ,りんしょう,アクロバット,みねうち,つるぎのまい,けたぐり,きあいだめ,みがわり,こらえる,ねごと,さわぐ,ちょうはつ,エナジーボール,くさむすび,ふるいたてる,かいりき,やどりぎのタネ,せいちょう,ねこだまし,しぜんのちから,アームハンマー,なやみのタネ,グラススライダー,くさのちかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴリランダー,,ゴリランダー,進化時,基本,基本,基本,基本,基本,基本,基本,基本,Lv.12,Lv.19,Lv.24,Lv.30,Lv.38,Lv.46,Lv.54,Lv.62,マシン00,マシン01,マシン08,マシン09,マシン10,マシン11,マシン12,マシン16,マシン21,マシン24,マシン25,マシン26,マシン28,マシン31,マシン34,マシン39,マシン40,マシン43,マシン50,マシン53,マシン56,マシン58,マシン59,マシン63,マシン76,マシン78,マシン81,マシン85,マシン88,マシン94,マシン97,マシン98,レコ.00,レコ.01,レコ.07,レコ.10,レコ.13,レコ.20,レコ.26,レコ.27,レコ.35,レコ.37,レコ.39,レコ.42,レコ.48,レコ.64,レコ.65,レコ.67,レコ.71,レコ.77,レコ.85,レコ.93,レコ.94,レコ.99,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,遺伝,鎧の孤島,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ドラムアタック,ドラムアタック,ダブルアタック,グラスフィールド,おたけび,ひっかく,なきごえ,えだづき,ちょうはつ,はっぱカッター,いやなおと,はたきおとす,たたきつける,さわぐ,ウッドハンマー,がむしゃら,ばくおんぱ,メガトンパンチ,メガトンキック,はかいこうせん,ギガインパクト,マジカルリーフ,ソーラービーム,ソーラーブレード,いやなおと,ねむる,いびき,まもる,こわいかお,ギガドレイン,メロメロ,にほんばれ,からげんき,スピードスター,かわらわり,タネマシンガン,マッドショット,とんぼがえり,ダメおし,なげつける,ドレインパンチ,りんしょう,アクロバット,じならし,バークアウト,グラスフィールド,みねうち,ぶんまわす,じだんだ,つるぎのまい,のしかかり,けたぐり,じしん,きあいだめ,みがわり,こらえる,ねごと,さわぐ,ちょうはつ,ばかぢから,ハイパーボイス,ビルドアップ,きあいだま,エナジーボール,だいちのちから,リーフストーム,くさむすび,ふるいたてる,DDラリアット,10まんばりき,ボディプレス,かいりき,やどりぎのタネ,せいちょう,ねこだまし,しぜんのちから,アームハンマー,なやみのタネ,グラススライダー,ハードプラント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヒバニー,,ヒバニー,基本,基本,Lv.6,Lv.8,Lv.12,Lv.17,Lv.20,Lv.24,Lv.28,Lv.32,Lv.36,マシン01,マシン21,マシン24,マシン25,マシン31,マシン34,マシン39,マシン40,マシン52,マシン53,マシン56,マシン58,マシン68,マシン75,マシン76,マシン78,レコ.02,レコ.07,レコ.12,レコ.13,レコ.15,レコ.20,レコ.21,レコ.26,レコ.27,レコ.29,レコ.36,レコ.37,レコ.41,レコ.43,レコ.73,レコ.80,レコ.83,レコ.85,遺伝,遺伝,遺伝,遺伝,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,たいあたり,なきごえ,ひのこ,でんこうせっか,にどげり,ニトロチャージ,こうそくいどう,ずつき,カウンター,とびはねる,すてみタックル,メガトンキック,ねむる,いびき,まもる,メロメロ,にほんばれ,からげんき,スピードスター,とびはねる,マッドショット,とんぼがえり,ダメおし,ほのおのキバ,ローキック,りんしょう,アクロバット,かえんほうしゃ,けたぐり,こうそくいどう,きあいだめ,だいもんじ,みがわり,きしかいせい,こらえる,ねごと,バトンタッチ,ねっぷう,ちょうはつ,ブレイズキック,オーバーヒート,ダストシュート,エレキボール,サイドチェンジ,ふるいたてる,すなかけ,とびひざげり,いかりのまえば,ふいうち,ほのおのちかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ラビフット,,ラビフット,基本,基本,基本,基本,Lv.12,Lv.19,Lv.24,Lv.30,Lv.36,Lv.42,Lv.48,マシン01,マシン21,マシン24,マシン25,マシン31,マシン34,マシン39,マシン40,マシン52,マシン53,マシン56,マシン58,マシン68,マシン75,マシン76,マシン78,レコ.02,レコ.07,レコ.12,レコ.13,レコ.15,レコ.20,レコ.21,レコ.26,レコ.27,レコ.29,レコ.36,レコ.37,レコ.41,レコ.43,レコ.48,レコ.55,レコ.73,レコ.80,レコ.83,レコ.85,遺伝,遺伝,遺伝,遺伝,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,たいあたり,なきごえ,ひのこ,でんこうせっか,にどげり,ニトロチャージ,こうそくいどう,ずつき,カウンター,とびはねる,すてみタックル,メガトンキック,ねむる,いびき,まもる,メロメロ,にほんばれ,からげんき,スピードスター,とびはねる,マッドショット,とんぼがえり,ダメおし,ほのおのキバ,ローキック,りんしょう,アクロバット,かえんほうしゃ,けたぐり,こうそくいどう,きあいだめ,だいもんじ,みがわり,きしかいせい,こらえる,ねごと,バトンタッチ,ねっぷう,ちょうはつ,ブレイズキック,オーバーヒート,ビルドアップ,フレアドライブ,ダストシュート,エレキボール,サイドチェンジ,ふるいたてる,すなかけ,とびひざげり,いかりのまえば,ふいうち,ほのおのちかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エースバーン,,エースバーン,進化時,基本,基本,基本,基本,基本,基本,Lv.12,Lv.19,Lv.24,Lv.30,Lv.38,Lv.46,Lv.54,Lv.62,マシン01,マシン03,マシン08,マシン09,マシン13,マシン21,マシン24,マシン25,マシン31,マシン34,マシン39,マシン40,マシン41,マシン42,マシン52,マシン53,マシン56,マシン58,マシン68,マシン75,マシン76,マシン78,マシン85,レコ.02,レコ.07,レコ.12,レコ.13,レコ.15,レコ.20,レコ.21,レコ.26,レコ.27,レコ.29,レコ.33,レコ.36,レコ.37,レコ.41,レコ.43,レコ.48,レコ.55,レコ.64,レコ.69,レコ.73,レコ.74,レコ.80,レコ.83,レコ.85,遺伝,遺伝,遺伝,遺伝,鎧の孤島,鎧の孤島,教え技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
